model,entity,recall,precision,fpr,count,f2_score,threshold
Presidio Analyzer,AGE,0.0,,0.0,101,,0.3
Presidio Analyzer,AGE,0.0,,0.0,101,,0.4
Presidio Analyzer,AGE,0.0,,0.0,101,,0.45
Presidio Analyzer,AGE,0.0,,0.0,101,,0.5
Presidio Analyzer,AGE,0.0,,0.0,101,,0.6
Presidio Analyzer,AGE,0.0,,0.0,101,,0.65
Presidio Analyzer,AGE,0.0,,0.0,101,,0.7
Presidio Analyzer,AGE,0.0,,0.0,101,,0.75
Presidio Analyzer,AGE,0.0,,0.0,101,,0.8
Presidio Analyzer,AGE,0.0,,0.0,101,,0.85
Presidio Analyzer,AGE,0.0,,0.0,101,,0.9
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.3
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.4
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.45
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.5
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.6
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.65
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.7
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.75
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.8
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.85
Presidio Analyzer,CREDIT_CARD,0.7530120481927711,1.0,0.0,166,0.7921419518377695,0.9
Presidio Analyzer,DATE_TIME,0.9746376811594203,0.3961708394698085,0.012548203464528371,276,0.7543466068424004,0.3
